Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
751	7.5000	8.172318	-388.636536	1001.940918	64.257195	-382.621338	1005.119690	-16.011507	-364.595764	957.713745	37.697609	-358.809021	960.660889	34.258133	-293.219208	861.158875	214.531708	-474.586975	1207.370850	180.738205	-483.189789	1204.694946	257.875397	-446.997284	1180.326782	139.885284	-478.755310	1173.664307	218.608780	-443.559875	1148.915405
752	7.5100	8.184100	-388.644196	1001.939148	64.268120	-382.627533	1005.116028	-16.003143	-364.601929	957.713562	37.705242	-358.813995	960.659119	34.260769	-293.221252	861.159851	214.400467	-474.364502	1207.414551	180.611984	-482.990570	1204.712402	257.758972	-446.747589	1180.396851	139.788223	-478.596405	1173.644043	218.530823	-443.345490	1148.946899
753	7.5200	8.195838	-388.651855	1001.937439	64.279007	-382.633698	1005.112305	-15.994808	-364.608124	957.713440	37.712845	-358.818909	960.657349	34.263401	-293.223267	861.160828	214.270554	-474.128723	1207.458618	180.485901	-482.777954	1204.731567	257.646790	-446.488647	1180.463379	139.692734	-478.425842	1173.625000	218.457794	-443.124969	1148.974854
754	7.5300	8.207528	-388.659515	1001.935669	64.289856	-382.639893	1005.108582	-15.986503	-364.614258	957.713196	37.720425	-358.823853	960.655518	34.266026	-293.225250	861.161743	214.144882	-473.879730	1207.502319	180.362885	-482.551697	1204.752075	257.541138	-446.220825	1180.525269	139.601120	-478.243042	1173.607666	218.391205	-442.898224	1148.998901
755	7.5400	8.219168	-388.667114	1001.933899	64.300659	-382.646027	1005.104919	-15.978230	-364.620422	957.713013	37.727974	-358.828766	960.653687	34.268646	-293.227234	861.162659	214.026535	-473.617798	1207.544800	180.246140	-482.311798	1204.773438	257.444336	-445.944641	1180.581177	139.515808	-478.047455	1173.592041	218.332535	-442.665344	1149.018433
756	7.5500	8.230756	-388.674713	1001.932190	64.311417	-382.652191	1005.101196	-15.969991	-364.626556	957.712769	37.735497	-358.833710	960.651855	34.271259	-293.229218	861.163513	213.918732	-473.343475	1207.585205	180.139038	-482.058380	1204.795288	257.358704	-445.660950	1180.630005	139.439270	-477.838837	1173.578735	218.283127	-442.426544	1149.033203
757	7.5600	8.242290	-388.682251	1001.930420	64.322121	-382.658295	1005.097473	-15.961786	-364.632690	957.712463	37.742989	-358.838623	960.649963	34.273869	-293.231171	861.164368	213.824600	-473.057556	1207.622314	180.044891	-481.791840	1204.817139	257.286407	-445.370758	1180.670532	139.373993	-477.617126	1173.567749	218.244217	-442.182251	1149.042847
758	7.5700	8.253768	-388.689789	1001.928589	64.332779	-382.664429	1005.093750	-15.953617	-364.638824	957.712219	37.750454	-358.843536	960.648132	34.276470	-293.233124	861.165161	213.747192	-472.761078	1207.655396	179.966965	-481.512787	1204.838379	257.229462	-445.075256	1180.701782	139.322281	-477.382538	1173.559448	218.216873	-441.933044	1149.047119
759	7.5800	8.265188	-388.697296	1001.926819	64.343384	-382.670502	1005.090027	-15.945485	-364.644928	957.711914	37.757885	-358.848419	960.646240	34.279064	-293.235046	861.165955	213.689224	-472.455231	1207.683472	179.908203	-481.222107	1204.858643	257.189606	-444.775757	1180.723022	139.286270	-477.135468	1173.553711	218.201935	-441.679688	1149.045654
760	7.5900	8.276547	-388.704803	1001.925049	64.353943	-382.676605	1005.086304	-15.937392	-364.651031	957.711609	37.765282	-358.853333	960.644348	34.281651	-293.236969	861.166748	213.653046	-472.141510	1207.705688	179.871170	-480.920898	1204.877319	257.168243	-444.473724	1180.733276	139.267700	-476.876709	1173.550903	218.200012	-441.423035	1149.038330
761	7.6000	8.287846	-388.712250	1001.923218	64.364441	-382.682648	1005.082581	-15.929338	-364.657104	957.711243	37.772648	-358.858215	960.642456	34.284233	-293.238861	861.167419	213.640472	-471.821472	1207.721436	179.857880	-480.610565	1204.893921	257.166290	-444.170654	1180.732178	139.267990	-476.607300	1173.550781	218.211441	-441.164032	1149.025391
762	7.6100	8.299079	-388.719696	1001.921387	64.374886	-382.688721	1005.078857	-15.921326	-364.663208	957.710876	37.779980	-358.863098	960.640503	34.286804	-293.240753	861.168152	213.652710	-471.496887	1207.730347	179.869766	-480.292786	1204.908203	257.184296	-443.868103	1180.719604	139.288040	-476.328613	1173.553589	218.236282	-440.903839	1149.006836
763	7.6200	8.310246	-388.727081	1001.919617	64.385269	-382.694733	1005.075134	-15.913355	-364.669281	957.710510	37.787273	-358.867981	960.638611	34.289371	-293.242615	861.168762	213.690338	-471.169739	1207.731934	179.907532	-479.969421	1204.919800	257.222290	-443.567627	1180.695679	139.328217	-476.042328	1173.559082	218.274246	-440.643585	1148.982788
764	7.6300	8.321345	-388.734467	1001.917786	64.395592	-382.700775	1005.071350	-15.905429	-364.675323	957.710144	37.794533	-358.872833	960.636658	34.291927	-293.244476	861.169434	213.753128	-470.842010	1207.726318	179.971115	-479.642609	1204.928345	257.279755	-443.270752	1180.660767	139.388351	-475.750366	1173.567139	218.324768	-440.384491	1148.953857
765	7.6400	8.332375	-388.741821	1001.915955	64.405861	-382.706757	1005.067627	-15.897546	-364.681366	957.709717	37.801754	-358.877716	960.634705	34.294479	-293.246338	861.170044	213.840195	-470.515839	1207.713623	180.059677	-479.314697	1204.934082	257.355621	-442.978943	1180.615479	139.467697	-475.454956	1173.577637	218.386963	-440.127869	1148.920410
766	7.6500	8.343332	-388.749146	1001.914124	64.416061	-382.712738	1005.063904	-15.889709	-364.687408	957.709290	37.808941	-358.882568	960.632690	34.297020	-293.248169	861.170593	213.949829	-470.193359	1207.694336	180.171616	-478.988129	1204.936646	257.448395	-442.693634	1180.560913	139.564880	-475.158539	1173.590210	218.459625	-439.874969	1148.883057
767	7.6600	8.354216	-388.756439	1001.912231	64.426193	-382.718719	1005.060181	-15.881920	-364.693420	957.708801	37.816086	-358.887421	960.630737	34.299549	-293.250000	861.171143	214.079697	-469.876740	1207.669067	180.304565	-478.665497	1204.936279	257.555969	-442.416138	1180.498413	139.678040	-474.863647	1173.604492	218.541321	-439.627167	1148.842529
768	7.6700	8.365024	-388.763702	1001.910400	64.436264	-382.724670	1005.056458	-15.874179	-364.699432	957.708313	37.823193	-358.892242	960.628723	34.302074	-293.251831	861.171692	214.226776	-469.568054	1207.638550	180.455460	-478.349426	1204.933350	257.675903	-442.147614	1180.429443	139.804794	-474.573029	1173.620361	218.630341	-439.385681	1148.799683
769	7.6800	8.375754	-388.770935	1001.908508	64.446266	-382.730591	1005.052734	-15.866488	-364.705414	957.707825	37.830254	-358.897095	960.626709	34.304588	-293.253632	861.172180	214.387497	-469.269440	1207.604004	180.620682	-478.042542	1204.927979	257.805328	-441.889252	1180.355835	139.942291	-474.289429	1173.637451	218.724747	-439.151794	1148.755249
770	7.6900	8.386406	-388.778137	1001.906677	64.456192	-382.736511	1005.049011	-15.858846	-364.711395	957.707336	37.837280	-358.901917	960.624756	34.307091	-293.255432	861.172607	214.557861	-468.982849	1207.566528	180.796127	-477.747345	1204.920654	257.941101	-441.641937	1180.279419	140.087357	-474.015594	1173.655273	218.822495	-438.926727	1148.710449
771	7.7000	8.396976	-388.785309	1001.904785	64.466057	-382.742401	1005.045288	-15.851256	-364.717377	957.706787	37.844257	-358.906738	960.622681	34.309586	-293.257233	861.173035	214.733536	-468.710083	1207.527344	180.977295	-477.466309	1204.911987	258.079895	-441.406616	1180.202148	140.236542	-473.754211	1173.673462	218.921356	-438.711639	1148.666016
