Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z		
150	0	-35.151592	-340.917480	1007.689026	20.980330	-344.795715	1010.772705	-54.755993	-313.427399	963.502808	-0.952436	-317.273560	966.303894	7.319502	-253.153091	865.669800	165.721420	-378.529236	1230.452515	183.062454	-396.237823	1205.471680	121.265221	-341.671204	1239.270386	182.855133	-406.650604	1154.709473	122.087471	-350.121613	1189.674683			
151	0	-35.153790	-340.918335	1007.688782	20.978113	-344.796326	1010.772949	-54.758038	-313.427490	963.502747	-0.954423	-317.274139	966.303650	7.318408	-253.153503	865.670166	165.734024	-378.444031	1230.258789	183.016235	-396.189331	1205.278320	121.341431	-341.509674	1239.072876	182.729309	-406.601654	1154.557617	122.087708	-349.972473	1189.491211			
152	0	-35.155991	-340.919159	1007.688660	20.975893	-344.796997	1010.773193	-54.760094	-313.427612	963.502747	-0.956415	-317.274811	966.303406	7.317310	-253.153915	865.670471	165.763031	-378.375946	1230.056152	182.982574	-396.155426	1205.075806	121.436058	-341.365967	1238.872314	182.606857	-406.561554	1154.400879	122.096420	-349.836029	1189.305054			
153	0	-35.158195	-340.920044	1007.688538	20.973667	-344.797607	1010.773438	-54.762154	-313.427673	963.502686	-0.958413	-317.275391	966.303162	7.316209	-253.154373	865.670715	165.804504	-378.321930	1229.846558	182.958633	-396.133209	1204.867065	121.544357	-341.237671	1238.669678	182.486679	-406.528809	1154.240967	122.110733	-349.710815	1189.117920			
154	0	-35.160408	-340.920898	1007.688293	20.971437	-344.798309	1010.773682	-54.764221	-313.427795	963.502625	-0.960415	-317.276062	966.302917	7.315105	-253.154785	865.671021	165.853973	-378.278687	1229.632568	182.941116	-396.119720	1204.654175	121.661026	-341.122070	1238.466309	182.367523	-406.501953	1154.079712	122.127457	-349.595428	1188.930298			
155	0	-35.162624	-340.921753	1007.688171	20.969204	-344.798950	1010.773804	-54.766296	-313.427917	963.502563	-0.962423	-317.276672	966.302551	7.313998	-253.155228	865.671387	165.906555	-378.242737	1229.416626	182.926453	-396.111755	1204.440308	121.780289	-341.016327	1238.263428	182.247955	-406.479431	1153.918457	122.143173	-349.488098	1188.743530			
156	0	-35.164841	-340.922638	1007.688049	20.966967	-344.799683	1010.773987	-54.768372	-313.428070	963.502502	-0.964435	-317.277374	966.302307	7.312888	-253.155655	865.671692	165.957001	-378.210693	1229.200928	182.910751	-396.106140	1204.228027	121.896088	-340.917572	1238.062744	182.126541	-406.459686	1153.759399	122.154312	-349.387268	1188.558838			
157	0	-35.167065	-340.923523	1007.687927	20.964727	-344.800354	1010.774231	-54.770458	-313.428223	963.502441	-0.966451	-317.277985	966.302124	7.311775	-253.156097	865.672058	166.000015	-378.179077	1228.988403	182.890060	-396.099915	1204.020264	122.002174	-340.822937	1237.865234	182.001755	-406.441132	1153.603882	122.157219	-349.291168	1188.377319			
158	0	-35.169296	-340.924408	1007.687805	20.962482	-344.801025	1010.774475	-54.772549	-313.428406	963.502319	-0.968473	-317.278687	966.301880	7.310659	-253.156540	865.672363	166.030151	-378.144745	1228.781494	182.860321	-396.090118	1203.819946	122.092400	-340.729584	1237.672241	181.872055	-406.422302	1153.454102	122.148293	-349.198334	1188.199829			
159	0	-35.171532	-340.925293	1007.687561	20.960230	-344.801758	1010.774719	-54.774643	-313.428589	963.502258	-0.970499	-317.279297	966.301575	7.309542	-253.156982	865.672668	166.042206	-378.104584	1228.582520	182.817566	-396.074097	1203.629639	122.160690	-340.635101	1237.485107	181.735962	-406.401886	1153.311035	122.124023	-349.107300	1188.027832			
